央视,#genre#
CCTV-1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=8583744510&sign=1cf6f9a1304c559363aec95e5e30791141e0a35f3fba882ca732dc98c465d7eb8809adc40f7d7094a1ed26eaf92b1427300fdff6153f36d74d902e5bdb1d39cfd2b6256f1c9f35664c6555277b&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=8583744510&sign=38ade671ac4ce5dea70c54434d7cf719a7875daf124cf3c99bd71f81f27a8db1a4585a015e8c37e7275ad599fb8852983e48eb314ae535c4f8a6a830b283d016fee76936ba98fe10b542731093&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=8583744510&sign=fb5e86164a850f822ff0d71af79bae651f1ee7dcd412b66252fcbb1fed362b1961f41f8e8dbc1b0202a55f929256a6c40cf9a97fcfffb6c4cf41e8cdc2e6d6bdc1b473d1ae3f2d0536d7813c53&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=8583744510&sign=12b06dc5eebc27769fc0b728035cbf60e38a63d306913b684f5a00e4cf7d0c91fb42cd5a19e89653b4f6ae70910e05aa90c8189cfd7c9a0ebd043ebf964df28f366ff61afe65b4726090bac938&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-5,https://live.ottiptv.cc/mcp/cctv5.m3u8?userid=8583744510&sign=edb47a87aba0d1bb664c65e34879ced9ec5473a97aa5ca8eeeefad1dc2fced6017b12ed5e30d0371e84bd463ba2be809499f2bbd86a83a02a7b31b043e10868fc0b2814beb2619f430862999c3&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-5+,https://live.ottiptv.cc/mcp/cctv5p.m3u8?userid=8583744510&sign=17b89dbb5690b9dc323eeac3125d0dcbb3b22b7487dfcf596b0a47b97a791405c3f566d1a6deff15ffcbbb3f6f444fe2593fd7035465ae9ef855956a4df38ec51446a53bd674c60063bb0c4c80cb&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-6,https://live.ottiptv.cc/mcp/cctv6.m3u8?userid=8583744510&sign=8fac4acdc43c06ee05fefc40ca3b798e4a6c4c00d805b81526c2f4fdca6536497c32e9d301e562db80c613db880901e70e903a51d5144fceef2972abc8c38e8dc4820e68ab8d8bdf7faea03548&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-7,https://live.ottiptv.cc/mcp/cctv7.m3u8?userid=8583744510&sign=c84569ab16d19164fa7a81d9c9bc9dd827f3d0fc4b4713544c2bdcf731cdeafbf30dc9eef71ec3fd7f2a2e74099f6dc962cc812c63604f3fcf9cbde683726e424d07172788bdca53957d3eb6ee&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-8,https://live.ottiptv.cc/mcp/cctv8.m3u8?userid=8583744510&sign=938aebe1013332cff05d311d60dfad327f482b75fc667fc58a23ac8ec54cd03a7797201591b90f7e950fa5eaffa769872fdb990c5a23e1ab4503bea2026e61bb6a49a3ae0fc2a3199f13010e0d&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-9,https://live.ottiptv.cc/mcp/cctv9.m3u8?userid=8583744510&sign=fc78590c20113676d6b0a18bab10d9c43d1f162c624402d8013d0f86ba6c7b4f9d21389b254dfbb0cf89c8bb9aa002976c87ead4107b7be5a2325a97b421606c245fda4f79ff42fa5d7fe59278&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-10,https://live.ottiptv.cc/mcp/cctv10.m3u8?userid=8583744510&sign=323c11d4d896fd76e103399f9b596f750b1d0616d1391df306a0c427cf6597b5fdca22bfd71b5f381ea2743299f23bffe25b970f21e033cb720f92d09e572d9a5e184a99c2d900fc837c59c5f460&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-11,https://live.ottiptv.cc/mcp/cctv11.m3u8?userid=8583744510&sign=771c97eaa45120aba39a1fb432abf07237260a3b10a3eaf4ca56ceefeabc691c15f5cb4025bdd6498d4549aa9fd03740c98aa9ab44efffeae623b420e047b5112aa062f108d73fe167782d9a5489&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-12,https://live.ottiptv.cc/mcp/cctv12.m3u8?userid=8583744510&sign=daa52348e449d3a7058c81ef802526ecd29316cc68326501865c2c2ae242ca5c137ed8f2b02e05aa59ae7955e5a6d9f590b2c1936b0815e25cb3f0cd653eca9771fcec7b856dde594be47d5eab7a&auth_token=1f5e6301c1826ee7b0efa58bf4233326
CCTV-13,https://live.ottiptv.cc/mcp/cctv13.m3u8?userid=8583744510&sign=7a93bcdea6415f7f83177f561e691072aa47f2cc81ee1da73b5a7785cc10fe9681827aa3ba851b78d820769871fe6f1286d5131013011fadac52650e8b1518c4e726d92059f444e0ab8b0779e688&auth_token=1f5e6301c1826ee7b0efa58bf4233326
